Geneid	L10_WT1	L10_WT2	L10_WT3	L10_WT4	L1_WT1	L1_WT2	L1_WT4	p13_WT1	p13_WT2	p13_WT3	p13_WT4	p6_WT1	p6_WT2	p6_WT4
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSMUSG00000051285	1028	1183	1663	936	1940	1594	1711	2655	2627	2368	3630	532	730	786
ENSMUSG00000098201	1	4	2	3	8	14	14	36	31	21	33	6	10	9
ENSMUSG00000103509	30	57	134	40	286	252	241	661	439	472	664	161	105	192
ENSMUSG00000048538	0	1	0	1	1	2	1	0	0	4	1	0	0	0
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	0	6	11	3	45	26	38	149	130	112	141	23	23	42
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	1	0	0	3	3	2	8	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	1	0	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000103903	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	1	0	1	0	9	5	9	14	23	17	19	4	9	13
ENSMUSG00000102647	0	0	0	0	0	0	1	0	1	0	1	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	1	0	2	0	0	1	0	1	1	0	2	0	1	1
ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	1	0	0	0	0	0	0	1	3	0	0	0	1
ENSMUSG00000084353	0	0	0	0	0	0	0	2	4	0	1	0	0	0
ENSMUSG00000103933	1	1	0	0	0	0	2	5	1	3	10	2	1	3
ENSMUSG00000076135	0	0	0	0	0	1	0	0	0	1	2	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	0	1	0	1	1	0	0	0
ENSMUSG00000102316	0	0	0	0	1	0	0	1	0	2	2	0	1	0
ENSMUSG00000103819	0	0	0	0	0	0	1	1	1	0	2	0	0	0
ENSMUSG00000102871	1	0	0	0	0	1	0	2	5	4	3	0	1	3
ENSMUSG00000101571	0	0	1	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000104428	0	0	1	0	1	0	0	1	0	0	1	0	0	0
ENSMUSG00000102272	0	0	1	0	1	1	0	1	1	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000103411	0	2	5	1	7	6	8	17	12	24	12	9	6	6
ENSMUSG00000061024	94	103	203	106	376	439	309	373	529	511	679	90	202	189
ENSMUSG00000025911	271	185	380	212	565	392	327	1201	1077	731	1126	145	354	182
ENSMUSG00000079671	19	31	62	21	77	53	62	141	83	126	129	24	21	51
ENSMUSG00000081441	0	0	2	0	2	3	2	6	1	1	2	3	7	1
ENSMUSG00000067879	0	4	25	4	26	9	17	38	21	31	39	3	8	15
ENSMUSG00000099827	0	0	0	0	0	0	0	1	0	0	0	0	1	1
ENSMUSG00000025912	6	6	8	8	72	65	62	318	298	274	413	33	64	107
ENSMUSG00000045210	270	310	494	239	1266	1057	1153	2391	2214	2577	3132	434	646	657
ENSMUSG00000097893	1	0	1	0	1	1	3	3	7	7	8	1	2	1
ENSMUSG00000025915	60	57	124	50	310	268	383	952	884	912	1298	186	228	301
ENSMUSG00000046334	0	1	0	0	3	2	1	26	8	12	14	4	4	8
ENSMUSG00000088916	0	0	0	0	2	0	5	10	5	8	3	2	2	2
ENSMUSG00000046101	2	2	10	1	35	25	30	112	109	83	146	20	22	33
ENSMUSG00000098234	61	55	124	44	255	181	228	433	393	383	626	70	110	134
ENSMUSG00000093178	0	0	1	0	3	1	2	15	9	13	17	3	5	1
ENSMUSG00000099032	1	1	1	3	7	15	15	41	33	68	52	6	10	20
ENSMUSG00000104025	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025916	0	1	0	1	1	0	1	0	2	2	4	1	0	1
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000095780	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025917	150	133	227	112	651	539	588	1403	1507	1525	1993	186	285	327
ENSMUSG00000056763	138	216	386	148	862	709	870	2606	1844	1686	2673	494	535	684
ENSMUSG00000102356	0	0	5	1	11	6	8	37	20	16	15	1	4	5
ENSMUSG00000067851	923	1053	1554	894	3416	2932	2937	5515	5501	5781	7275	998	1441	1664
ENSMUSG00000088153	1	4	10	0	15	7	10	40	25	30	26	4	4	4
ENSMUSG00000102556	1	6	20	5	30	21	39	126	83	84	130	27	15	38
ENSMUSG00000042501	2	3	5	2	15	17	6	69	67	62	61	11	55	23
ENSMUSG00000103810	0	0	1	0	3	2	2	14	6	3	11	2	9	3
ENSMUSG00000083422	0	0	0	0	2	1	1	10	4	10	12	0	7	4
ENSMUSG00000094979	0	0	0	0	0	0	0	2	1	0	2	0	0	0
ENSMUSG00000081417	0	0	0	0	0	0	1	2	1	0	1	0	1	0
ENSMUSG00000103448	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	1	0	0	0	0	0	1	1	1	0	7	0	1	1
ENSMUSG00000088585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	648	600	1053	459	1138	979	1076	2195	1829	2081	3112	648	673	636
ENSMUSG00000077318	0	1	1	0	1	0	2	4	4	7	5	1	1	0
ENSMUSG00000101827	1	0	4	0	5	1	4	13	5	2	2	3	2	3
ENSMUSG00000103494	0	0	0	0	0	2	0	1	0	0	0	0	0	0
ENSMUSG00000057715	3	1	1	0	10	6	9	98	124	71	136	18	31	33
ENSMUSG00000103825	0	0	0	0	0	1	3	18	20	6	11	3	3	6
ENSMUSG00000099845	0	0	0	0	0	0	0	3	1	0	3	0	1	0
ENSMUSG00000103561	0	0	0	0	0	0	0	1	4	1	0	0	0	2
ENSMUSG00000101610	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000093864	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	0	0	0	1	1	0	0	5	0	1	0	0	0
ENSMUSG00000098163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	56	35	86	48	207	205	303	432	576	735	708	91	226	236
ENSMUSG00000025938	1	0	4	0	10	8	11	136	278	139	234	47	51	68
ENSMUSG00000104518	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	0	0	0	0	0	0	0	1	1	1	2	0	0	1
ENSMUSG00000005886	432	547	864	346	1384	1184	1659	2622	2589	2830	3077	763	895	1050
ENSMUSG00000103506	0	4	14	4	21	17	30	88	58	60	91	18	14	29
ENSMUSG00000103495	4	6	17	6	56	39	51	158	100	87	112	38	23	41
ENSMUSG00000099183	0	0	4	0	2	1	2	18	11	8	11	2	4	5
ENSMUSG00000102639	0	1	3	1	12	16	15	45	27	25	16	5	5	10
ENSMUSG00000104170	3	7	23	8	40	26	36	162	100	92	133	37	21	43
ENSMUSG00000087782	0	0	3	1	7	3	5	13	11	7	13	3	1	6
ENSMUSG00000103085	10	19	77	10	144	88	125	575	389	353	397	120	80	148
ENSMUSG00000102664	6	13	29	14	76	49	81	246	199	134	198	54	36	70
ENSMUSG00000101476	0	0	0	0	1	0	1	3	2	3	2	0	0	1
ENSMUSG00000101171	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000025935	3852	4009	4616	2952	11185	9481	4855	3709	3735	4552	5437	523	896	1196
ENSMUSG00000025937	228	259	382	215	558	392	354	572	601	454	781	132	220	266
ENSMUSG00000102982	2	6	17	4	21	23	20	41	27	29	50	9	14	12
ENSMUSG00000067813	17	49	72	31	1	0	0	1	0	0	0	0	0	1
ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	0	1	0	0	1	0	2	2	5	2	3	0	2	1
ENSMUSG00000102166	0	0	0	0	0	1	0	0	0	1	3	0	0	0
ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	0	0	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000025932	5	2	15	2	19	19	30	126	104	157	334	37	16	23
ENSMUSG00000095853	0	0	0	0	1	0	0	1	1	3	7	0	1	1
ENSMUSG00000102588	0	0	0	0	2	0	0	6	2	1	12	1	3	1
ENSMUSG00000054493	0	2	4	2	2	4	1	34	33	26	37	4	3	8
ENSMUSG00000025930	2	2	6	1	13	12	35	93	59	99	101	19	26	35
ENSMUSG00000103492	0	0	1	1	1	0	3	23	9	19	12	4	4	7
ENSMUSG00000081201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082193	0	2	2	3	5	4	4	10	8	7	11	0	4	3
ENSMUSG00000032769	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	0	0	0	0	1	0	0	0	3	1	2	1	0	1
ENSMUSG00000092083	0	0	0	0	0	1	0	0	1	0	5	0	1	0
ENSMUSG00000102937	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104149	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	40	40	72	24	160	130	158	599	528	553	694	121	151	154
ENSMUSG00000104379	2	1	3	1	11	10	10	74	59	75	95	8	47	16
ENSMUSG00000032719	2	2	2	2	8	12	7	45	64	64	76	2	41	14
ENSMUSG00000088943	0	0	0	0	0	0	1	3	6	3	9	1	0	1
ENSMUSG00000100652	0	0	0	0	0	0	0	0	1	1	1	0	1	0
ENSMUSG00000067795	0	1	0	0	0	1	0	3	1	5	7	1	4	0
ENSMUSG00000043716	3019	2769	3573	2308	9411	8098	8080	13743	16501	20827	24344	1683	4282	4590
ENSMUSG00000025921	101	74	149	73	226	202	208	770	815	952	1170	91	189	182
ENSMUSG00000104165	0	0	1	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000100868	0	3	3	2	5	3	6	34	14	12	16	4	4	8
ENSMUSG00000025920	68	88	152	80	250	205	260	818	895	802	1057	149	223	197
ENSMUSG00000089982	1	2	4	1	6	4	3	21	12	16	26	3	6	5
ENSMUSG00000025939	104	118	184	90	415	401	456	1275	1131	1144	1636	213	326	258
ENSMUSG00000102457	0	0	2	1	5	4	4	12	9	6	17	1	3	4
ENSMUSG00000079658	170	140	197	131	536	440	426	932	1051	961	1489	102	210	207
ENSMUSG00000097744	0	1	5	0	3	2	2	3	0	3	1	0	0	1
ENSMUSG00000100959	0	0	0	0	1	0	0	1	1	0	0	1	0	0
ENSMUSG00000025940	171	136	237	147	470	315	316	769	869	848	1118	81	176	202
ENSMUSG00000025779	146	118	150	91	225	151	168	123	78	103	129	23	16	24
ENSMUSG00000100093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020	0	0	1	0	0	2	0	1	2	2	1	0	1	3
ENSMUSG00000101640	0	0	0	0	0	1	1	1	1	1	0	0	0	1
ENSMUSG00000104133	0	0	0	0	0	1	0	0	0	0	2	0	0	0
ENSMUSG00000042686	18	30	40	16	52	59	44	101	898	187	296	64	85	121
ENSMUSG00000100110	0	0	0	0	0	0	0	0	3	0	1	0	0	1
ENSMUSG00000025777	0	0	0	0	2	5	2	10	44	20	14	2	3	8
ENSMUSG00000099899	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000100272	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	0	1	2	0	5	2	0	4	2	9	16	1	1	2
ENSMUSG00000102048	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000089534	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780	7	14	11	23	169	186	165	629	565	879	678	33	140	56
ENSMUSG00000100053	0	0	3	1	9	8	5	55	39	48	50	4	13	8
ENSMUSG00000085125	1	3	6	4	31	18	15	168	113	168	229	18	26	36
ENSMUSG00000025776	35	23	41	31	190	148	112	998	909	1822	1979	46	323	325
ENSMUSG00000099895	1	0	2	0	1	3	1	18	16	25	29	1	3	4
ENSMUSG00000100554	0	0	0	0	0	0	0	0	0	2	1	0	1	0
ENSMUSG00000099473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070977	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101685	0	0	0	0	0	0	1	1	0	0	0	2	1	0
ENSMUSG00000101738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089787	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042596	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100720	0	0	0	0	0	0	0	0	0	3	3	1	0	0
ENSMUSG00000025927	19	55	43	45	342	325	290	872	1378	992	1218	259	754	231
ENSMUSG00000100538	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100204	0	1	0	0	2	1	1	3	4	1	3	1	3	0
ENSMUSG00000084668	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043760	0	0	0	0	1	2	0	43	74	43	73	11	35	1
ENSMUSG00000104095	0	0	0	0	0	0	0	2	2	1	2	0	0	0
ENSMUSG00000089914	0	0	0	0	0	0	0	1	0	0	1	0	4	0
ENSMUSG00000090142	0	0	0	1	0	0	0	2	2	0	2	0	4	0
ENSMUSG00000070175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065559	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099906	0	0	0	0	0	0	0	0	45	23	82	2	0	2
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041872	0	0	0	0	0	0	0	0	2	0	1	0	1	1
ENSMUSG00000041859	19	12	21	23	482	535	131	954	1232	1335	1519	161	336	447
ENSMUSG00000099714	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000102121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097934	1	0	1	0	1	0	0	1	1	2	2	3	1	0
ENSMUSG00000025931	6	11	22	4	36	43	27	84	81	85	100	13	35	45
ENSMUSG00000077314	0	0	1	0	0	0	0	1	1	0	3	0	1	0
ENSMUSG00000100929	0	0	0	0	0	0	1	0	0	1	0	1	0	1
ENSMUSG00000041809	4	4	5	2	28	21	32	77	47	100	92	17	20	28
ENSMUSG00000041779	29	45	94	38	324	344	335	721	779	900	815	137	271	263
ENSMUSG00000099971	0	0	0	0	0	0	0	1	3	2	1	0	0	0
ENSMUSG00000100819	0	0	0	0	0	3	2	4	5	5	19	5	3	1
ENSMUSG00000025933	6	4	10	4	17	22	8	55	52	70	68	6	23	17
ENSMUSG00000102633	0	1	1	1	2	1	5	4	6	4	8	2	3	3
ENSMUSG00000025934	613	95	254	102	219	152	135	131	356	146	408	23	78	98
ENSMUSG00000099343	3	0	1	0	5	2	0	2	5	0	10	0	0	1
ENSMUSG00000096375	0	1	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000025936	1	0	0	1	2	4	3	4	4	7	14	3	3	7
ENSMUSG00000093963	0	0	1	0	1	0	2	1	0	2	2	1	0	0
ENSMUSG00000067750	0	0	1	0	1	0	2	0	2	1	3	0	1	1
ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000041722	0	0	0	0	0	2	0	0	0	4	1	0	0	0
ENSMUSG00000085507	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000094926	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000085079	0	0	0	1	2	0	1	0	1	0	1	1	0	0
ENSMUSG00000085679	0	0	0	0	1	0	0	0	0	0	1	0	0	1
ENSMUSG00000028033	9	16	21	15	135	82	81	237	374	304	376	68	75	122
ENSMUSG00000104138	0	0	3	0	14	6	5	26	17	5	19	4	1	14
ENSMUSG00000082935	1	0	0	2	10	3	3	20	27	21	39	5	12	6
ENSMUSG00000103748	0	2	9	1	19	7	11	100	70	40	93	17	9	14
ENSMUSG00000097109	4	0	3	1	21	20	31	96	75	63	81	23	15	28
ENSMUSG00000099692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670	0	0	0	0	1	0	0	5	4	4	6	1	1	1
ENSMUSG00000097642	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ENSMUSG00000101468	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000101227	0	0	0	0	0	0	0	1	0	1	2	0	0	0
ENSMUSG00000073730	0	0	0	0	0	0	0	1	0	2	0	1	0	0
ENSMUSG00000089553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766	1	0	0	0	4	2	2	6	3	5	6	0	0	3
ENSMUSG00000065405	1	2	4	1	4	2	10	7	8	13	21	3	2	5
ENSMUSG00000097970	2	17	23	3	66	43	46	183	120	105	173	29	33	38
ENSMUSG00000065567	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775	0	0	1	1	14	1	3	8	9	6	15	0	1	2
ENSMUSG00000101226	0	0	0	1	0	0	0	0	1	0	2	0	0	1
ENSMUSG00000026158	1199	1697	2359	1342	2945	2533	9882	5399	4921	6355	6674	1757	959	2802
ENSMUSG00000097920	0	1	2	0	1	0	4	25	25	29	29	6	3	24
ENSMUSG00000099503	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSMUSG00000026156	8	22	48	11	90	64	78	148	107	96	165	38	28	48
ENSMUSG00000026155	102	98	157	100	396	314	343	525	530	596	760	83	160	158
ENSMUSG00000026154	29	35	54	14	70	54	53	156	220	224	245	16	47	35
ENSMUSG00000102495	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000026153	86	110	166	78	431	368	438	1263	1096	1053	1741	239	343	303
ENSMUSG00000102398	0	0	0	0	1	0	2	1	0	1	1	0	0	1
ENSMUSG00000097670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026147	306	483	749	381	5619	6459	5083	957	538	1293	1157	122	46	117
ENSMUSG00000026141	0	1	3	0	8	6	17	7	10	11	15	6	5	2
ENSMUSG00000077463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099997	0	0	0	0	0	4	2	2	2	3	1	0	0	3
ENSMUSG00000100131	0	0	0	0	0	0	0	2	5	0	1	0	0	0
ENSMUSG00000067736	0	1	0	0	0	0	0	3	5	1	2	0	0	1
ENSMUSG00000101939	23	43	106	35	89	33	60	185	217	96	210	24	32	57
ENSMUSG00000101111	0	1	3	1	6	1	1	63	53	4	1	4	0	1
ENSMUSG00000100862	0	0	2	0	2	0	4	10	10	7	2	0	1	4
ENSMUSG00000102070	0	1	1	1	1	1	1	10	11	1	2	0	0	0
ENSMUSG00000101249	1	0	1	1	5	0	2	24	13	2	8	2	0	3
ENSMUSG00000073725	306	336	508	229	747	574	743	1505	1580	1536	1842	269	404	431
ENSMUSG00000100808	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100483	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100450	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033569	0	0	0	0	1	1	1	3	3	4	8	5	0	1
ENSMUSG00000080849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104257	0	0	0	0	0	0	1	0	0	0	0	1	0	0
