Geneid	L10_WT1	L10_WT2	L10_WT3	L10_WT4	p6_WT1	p6_WT2	p6_WT4
ENSMUSG00000103509	30	57	134	40	161	105	192
ENSMUSG00000048538	0	1	0	1	0	0	0
ENSMUSG00000103709	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0
ENSMUSG00000097797	0	6	11	3	23	23	42
ENSMUSG00000103498	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	1	0	0	0	0
ENSMUSG00000103903	0	0	1	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0
ENSMUSG00000025909	1	0	1	0	4	9	13
ENSMUSG00000102647	0	0	0	0	0	0	0
ENSMUSG00000086235	0	0	0	0	0	0	0
ENSMUSG00000102253	1	0	2	0	0	1	1
ENSMUSG00000093970	0	0	0	0	0	0	0
ENSMUSG00000103884	0	1	0	0	0	0	1
ENSMUSG00000084353	0	0	0	0	0	0	0
ENSMUSG00000103933	1	1	0	0	2	1	3
ENSMUSG00000076135	0	0	0	0	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0
ENSMUSG00000104504	1	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	0	0
ENSMUSG00000102316	0	0	0	0	0	1	0
ENSMUSG00000103819	0	0	0	0	0	0	0
ENSMUSG00000102871	1	0	0	0	0	1	3
ENSMUSG00000101571	0	0	1	0	0	0	0
ENSMUSG00000104428	0	0	1	0	0	0	0
ENSMUSG00000102272	0	0	1	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	1	0
ENSMUSG00000103411	0	2	5	1	9	6	6
ENSMUSG00000061024	94	103	203	106	90	202	189
ENSMUSG00000025911	271	185	380	212	145	354	182
ENSMUSG00000079671	19	31	62	21	24	21	51
ENSMUSG00000081441	0	0	2	0	3	7	1
ENSMUSG00000067879	0	4	25	4	3	8	15
ENSMUSG00000099827	0	0	0	0	0	1	1
ENSMUSG00000025912	6	6	8	8	33	64	107
ENSMUSG00000045210	270	310	494	239	434	646	657
ENSMUSG00000097893	1	0	1	0	1	2	1
ENSMUSG00000025915	60	57	124	50	186	228	301
ENSMUSG00000046334	0	1	0	0	4	4	8
ENSMUSG00000088916	0	0	0	0	2	2	2
ENSMUSG00000046101	2	2	10	1	20	22	33
ENSMUSG00000098234	61	55	124	44	70	110	134
ENSMUSG00000093178	0	0	1	0	3	5	1
ENSMUSG00000099032	1	1	1	3	6	10	20
ENSMUSG00000104025	0	0	0	0	0	0	0
ENSMUSG00000025916	0	1	0	1	1	0	1
ENSMUSG00000087199	0	0	0	0	0	0	0
ENSMUSG00000095780	0	0	0	0	0	0	0
ENSMUSG00000025917	150	133	227	112	186	285	327
ENSMUSG00000056763	138	216	386	148	494	535	684
ENSMUSG00000102356	0	0	5	1	1	4	5
ENSMUSG00000067851	923	1053	1554	894	998	1441	1664
ENSMUSG00000088153	1	4	10	0	4	4	4
ENSMUSG00000102556	1	6	20	5	27	15	38
ENSMUSG00000042501	2	3	5	2	11	55	23
ENSMUSG00000103810	0	0	1	0	2	9	3
ENSMUSG00000083422	0	0	0	0	0	7	4
ENSMUSG00000094979	0	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	1	0
ENSMUSG00000103448	0	0	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0	0
ENSMUSG00000100648	1	0	0	0	0	1	1
ENSMUSG00000088585	0	0	0	0	0	0	0
ENSMUSG00000048960	648	600	1053	459	648	673	636
ENSMUSG00000077318	0	1	1	0	1	1	0
ENSMUSG00000101827	1	0	4	0	3	2	3
ENSMUSG00000103494	0	0	0	0	0	0	0
ENSMUSG00000057715	3	1	1	0	18	31	33
ENSMUSG00000103825	0	0	0	0	3	3	6
ENSMUSG00000099845	0	0	0	0	0	1	0
ENSMUSG00000103561	0	0	0	0	0	0	2
ENSMUSG00000101610	0	0	0	0	0	0	0
ENSMUSG00000093864	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0
ENSMUSG00000097628	0	0	0	0	0	0	0
ENSMUSG00000098163	0	0	0	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0
ENSMUSG00000016918	56	35	86	48	91	226	236
ENSMUSG00000025938	1	0	4	0	47	51	68
ENSMUSG00000104518	0	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	0	0	0
ENSMUSG00000042414	0	0	0	0	0	0	1
ENSMUSG00000005886	432	547	864	346	763	895	1050
ENSMUSG00000103506	0	4	14	4	18	14	29
ENSMUSG00000103495	4	6	17	6	38	23	41
ENSMUSG00000099183	0	0	4	0	2	4	5
ENSMUSG00000102639	0	1	3	1	5	5	10
ENSMUSG00000104170	3	7	23	8	37	21	43
ENSMUSG00000087782	0	0	3	1	3	1	6
ENSMUSG00000103085	10	19	77	10	120	80	148
ENSMUSG00000102664	6	13	29	14	54	36	70
ENSMUSG00000101476	0	0	0	0	0	0	1
ENSMUSG00000101171	0	0	0	0	0	0	0
ENSMUSG00000025935	3852	4009	4616	2952	523	896	1196
ENSMUSG00000025937	228	259	382	215	132	220	266
ENSMUSG00000102982	2	6	17	4	9	14	12
ENSMUSG00000067813	17	49	72	31	0	0	1
ENSMUSG00000077368	0	0	0	0	0	0	0
ENSMUSG00000097711	0	1	0	0	0	2	1
ENSMUSG00000102166	0	0	0	0	0	0	0
ENSMUSG00000089358	0	0	0	0	0	0	0
ENSMUSG00000104209	0	0	0	0	0	1	0
ENSMUSG00000025932	5	2	15	2	37	16	23
ENSMUSG00000095853	0	0	0	0	0	1	1
ENSMUSG00000102588	0	0	0	0	1	3	1
ENSMUSG00000054493	0	2	4	2	4	3	8
ENSMUSG00000025930	2	2	6	1	19	26	35
ENSMUSG00000103492	0	0	1	1	4	4	7
ENSMUSG00000081201	0	0	0	0	0	0	0
ENSMUSG00000082193	0	2	2	3	0	4	3
ENSMUSG00000032769	0	0	0	0	0	1	0
ENSMUSG00000088159	0	0	0	0	0	0	0
ENSMUSG00000073737	0	0	0	0	1	0	1
ENSMUSG00000092083	0	0	0	0	0	1	0
ENSMUSG00000102937	0	0	0	0	0	0	0
ENSMUSG00000104149	0	0	0	0	0	0	0
ENSMUSG00000088829	0	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	0	0	0	0
ENSMUSG00000101652	0	0	0	0	0	0	0
ENSMUSG00000100814	0	0	0	0	0	0	0
ENSMUSG00000025925	40	40	72	24	121	151	154
ENSMUSG00000104379	2	1	3	1	8	47	16
ENSMUSG00000032719	2	2	2	2	2	41	14
ENSMUSG00000088943	0	0	0	0	1	0	1
ENSMUSG00000100652	0	0	0	0	0	1	0
ENSMUSG00000067795	0	1	0	0	1	4	0
ENSMUSG00000043716	3019	2769	3573	2308	1683	4282	4590
ENSMUSG00000025921	101	74	149	73	91	189	182
ENSMUSG00000104165	0	0	1	0	0	0	0
ENSMUSG00000100868	0	3	3	2	4	4	8
ENSMUSG00000025920	68	88	152	80	149	223	197
ENSMUSG00000089982	1	2	4	1	3	6	5
ENSMUSG00000025939	104	118	184	90	213	326	258
ENSMUSG00000102457	0	0	2	1	1	3	4
ENSMUSG00000079658	170	140	197	131	102	210	207
ENSMUSG00000097744	0	1	5	0	0	0	1
ENSMUSG00000100959	0	0	0	0	1	0	0
ENSMUSG00000025940	171	136	237	147	81	176	202
ENSMUSG00000025779	146	118	150	91	23	16	24
ENSMUSG00000100093	0	0	0	0	0	0	0
ENSMUSG00000091020	0	0	1	0	0	1	3
ENSMUSG00000101640	0	0	0	0	0	0	1
ENSMUSG00000104133	0	0	0	0	0	0	0
ENSMUSG00000042686	18	30	40	16	64	85	121
ENSMUSG00000100110	0	0	0	0	0	0	1
ENSMUSG00000025777	0	0	0	0	2	3	8
ENSMUSG00000099899	0	0	0	0	0	0	0
ENSMUSG00000100272	0	0	0	0	0	0	0
ENSMUSG00000100398	0	0	0	0	0	0	0
ENSMUSG00000101589	0	1	2	0	1	1	2
ENSMUSG00000102048	0	0	0	0	0	0	0
ENSMUSG00000089534	0	0	0	1	0	0	0
ENSMUSG00000067780	7	14	11	23	33	140	56
ENSMUSG00000100053	0	0	3	1	4	13	8
ENSMUSG00000085125	1	3	6	4	18	26	36
ENSMUSG00000025776	35	23	41	31	46	323	325
ENSMUSG00000099895	1	0	2	0	1	3	4
ENSMUSG00000100554	0	0	0	0	0	1	0
ENSMUSG00000099473	0	0	0	0	0	0	0
ENSMUSG00000099591	0	0	0	0	0	0	0
ENSMUSG00000102001	0	0	0	0	0	0	0
ENSMUSG00000101717	0	0	0	0	0	0	0
ENSMUSG00000025774	0	0	0	0	0	0	0
ENSMUSG00000070977	0	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0	0
ENSMUSG00000067773	0	0	0	0	0	0	0
ENSMUSG00000101685	0	0	0	0	2	1	0
ENSMUSG00000101738	0	0	0	0	0	0	0
ENSMUSG00000101306	0	0	0	0	0	0	0
ENSMUSG00000088800	0	0	0	0	0	0	0
ENSMUSG00000101644	0	0	0	0	0	0	0
ENSMUSG00000099433	0	0	0	0	0	0	0
ENSMUSG00000089787	0	0	0	0	0	0	0
ENSMUSG00000042596	0	0	0	0	0	0	0
ENSMUSG00000100720	0	0	0	0	1	0	0
ENSMUSG00000025927	19	55	43	45	259	754	231
ENSMUSG00000100538	0	0	0	0	0	0	0
ENSMUSG00000101117	0	0	0	0	0	0	0
ENSMUSG00000100204	0	1	0	0	1	3	0
ENSMUSG00000084668	0	0	0	0	0	0	0
ENSMUSG00000102597	0	0	0	0	0	0	0
ENSMUSG00000043760	0	0	0	0	11	35	1
ENSMUSG00000104095	0	0	0	0	0	0	0
ENSMUSG00000089914	0	0	0	0	0	4	0
ENSMUSG00000090142	0	0	0	1	0	4	0
ENSMUSG00000070175	0	0	0	0	0	0	0
ENSMUSG00000065559	0	0	0	0	0	0	0
ENSMUSG00000099906	0	0	0	0	2	0	2
ENSMUSG00000065480	0	0	0	0	0	0	0
ENSMUSG00000025929	0	0	0	0	0	0	0
ENSMUSG00000041872	0	0	0	0	0	1	1
ENSMUSG00000041859	19	12	21	23	161	336	447
ENSMUSG00000099714	0	0	0	0	0	0	0
ENSMUSG00000102121	0	0	0	0	0	0	0
ENSMUSG00000088858	0	0	0	0	0	0	0
ENSMUSG00000097934	1	0	1	0	3	1	0
ENSMUSG00000025931	6	11	22	4	13	35	45
ENSMUSG00000077314	0	0	1	0	0	1	0
ENSMUSG00000100929	0	0	0	0	1	0	1
ENSMUSG00000041809	4	4	5	2	17	20	28
ENSMUSG00000041779	29	45	94	38	137	271	263
ENSMUSG00000099971	0	0	0	0	0	0	0
ENSMUSG00000100819	0	0	0	0	5	3	1
ENSMUSG00000025933	6	4	10	4	6	23	17
ENSMUSG00000102633	0	1	1	1	2	3	3
ENSMUSG00000025934	613	95	254	102	23	78	98
ENSMUSG00000099343	3	0	1	0	0	0	1
ENSMUSG00000096375	0	1	0	0	0	0	0
ENSMUSG00000025936	1	0	0	1	3	3	7
ENSMUSG00000093963	0	0	1	0	1	0	0
ENSMUSG00000067750	0	0	1	0	0	1	1
ENSMUSG00000086194	0	0	0	0	0	0	0
ENSMUSG00000094436	0	0	0	0	0	0	0
ENSMUSG00000041722	0	0	0	0	0	0	0
ENSMUSG00000085507	0	0	0	0	1	0	0
ENSMUSG00000094926	0	0	0	0	0	0	0
ENSMUSG00000085079	0	0	0	1	1	0	0
ENSMUSG00000085679	0	0	0	0	0	0	1
ENSMUSG00000028033	9	16	21	15	68	75	122
ENSMUSG00000104138	0	0	3	0	4	1	14
ENSMUSG00000082935	1	0	0	2	5	12	6
ENSMUSG00000103748	0	2	9	1	17	9	14
ENSMUSG00000097109	4	0	3	1	23	15	28
ENSMUSG00000099692	0	0	0	0	0	0	0
ENSMUSG00000100418	0	0	0	0	0	0	0
ENSMUSG00000041670	0	0	0	0	1	1	1
ENSMUSG00000097642	0	0	0	0	0	0	0
ENSMUSG00000101468	0	0	0	0	0	0	0
ENSMUSG00000101227	0	0	0	0	0	0	0
ENSMUSG00000073730	0	0	0	0	1	0	0
ENSMUSG00000089553	0	0	0	0	0	0	0
ENSMUSG00000102766	1	0	0	0	0	0	3
ENSMUSG00000065405	1	2	4	1	3	2	5
ENSMUSG00000097970	2	17	23	3	29	33	38
ENSMUSG00000065567	0	0	0	0	0	0	0
ENSMUSG00000100775	0	0	1	1	0	1	2
ENSMUSG00000101226	0	0	0	1	0	0	1
ENSMUSG00000026158	1199	1697	2359	1342	1757	959	2802
ENSMUSG00000097920	0	1	2	0	6	3	24
ENSMUSG00000099503	0	0	0	0	0	0	0
ENSMUSG00000026156	8	22	48	11	38	28	48
ENSMUSG00000026155	102	98	157	100	83	160	158
ENSMUSG00000026154	29	35	54	14	16	47	35
ENSMUSG00000102495	0	0	0	0	0	0	0
ENSMUSG00000026153	86	110	166	78	239	343	303
ENSMUSG00000102398	0	0	0	0	0	0	1
ENSMUSG00000097670	0	0	0	0	0	0	0
ENSMUSG00000026147	306	483	749	381	122	46	117
ENSMUSG00000026141	0	1	3	0	6	5	2
ENSMUSG00000077463	0	0	0	0	0	0	0
ENSMUSG00000099997	0	0	0	0	0	0	3
ENSMUSG00000100131	0	0	0	0	0	0	0
ENSMUSG00000067736	0	1	0	0	0	0	1
ENSMUSG00000101939	23	43	106	35	24	32	57
ENSMUSG00000101111	0	1	3	1	4	0	1
ENSMUSG00000100862	0	0	2	0	0	1	4
ENSMUSG00000102070	0	1	1	1	0	0	0
ENSMUSG00000101249	1	0	1	1	2	0	3
ENSMUSG00000073725	306	336	508	229	269	404	431
ENSMUSG00000100808	0	0	0	0	0	0	0
ENSMUSG00000100483	0	0	0	0	0	0	0
ENSMUSG00000100450	1	0	0	0	0	0	0
ENSMUSG00000099392	0	0	0	0	0	0	0
ENSMUSG00000033569	0	0	0	0	5	0	1
ENSMUSG00000080849	0	0	0	0	0	0	0
ENSMUSG00000104257	0	0	0	0	1	0	0
ENSMUSG00000096866	0	0	0	0	0	0	0
ENSMUSG00000102296	0	0	0	0	0	0	0
ENSMUSG00000103209	0	0	0	0	0	0	0
ENSMUSG00000104027	0	0	0	0	0	0	0
ENSMUSG00000102407	0	0	0	0	0	0	0
ENSMUSG00000103214	0	0	0	0	1	0	0
ENSMUSG00000104100	0	0	0	0	1	0	0
ENSMUSG00000084740	0	0	0	0	0	0	0
ENSMUSG00000103889	0	0	0	0	0	0	1
ENSMUSG00000101301	0	0	0	0	0	0	0
ENSMUSG00000104221	0	0	0	0	0	1	0
ENSMUSG00000102250	0	0	0	0	0	0	0
ENSMUSG00000102317	0	0	0	0	0	0	0
ENSMUSG00000103563	0	0	0	0	0	1	0
ENSMUSG00000102465	0	0	0	0	0	0	0
ENSMUSG00000102659	0	0	0	0	0	0	0
ENSMUSG00000103924	0	0	0	0	1	0	0
ENSMUSG00000104132	0	0	0	0	0	0	0
ENSMUSG00000102747	0	0	0	0	0	0	0
ENSMUSG00000102386	0	0	0	0	0	0	0
ENSMUSG00000103004	0	0	0	0	0	0	0
ENSMUSG00000104516	0	0	0	0	0	0	0
ENSMUSG00000101618	0	0	0	0	0	0	0
ENSMUSG00000099458	0	0	0	0	0	0	0
ENSMUSG00000088111	0	0	0	0	0	0	0
ENSMUSG00000073722	0	0	0	0	0	0	0
ENSMUSG00000095256	0	0	0	0	0	0	0
ENSMUSG00000100310	0	0	0	0	0	0	0
ENSMUSG00000101514	0	0	0	0	0	1	0
ENSMUSG00000101033	0	0	0	0	0	0	0
ENSMUSG00000101372	0	0	0	0	0	2	0
ENSMUSG00000103241	0	0	0	0	0	0	0
ENSMUSG00000086240	1	0	1	0	0	3	0
ENSMUSG00000048411	0	0	0	0	0	0	0
ENSMUSG00000081557	0	0	0	0	0	1	0
ENSMUSG00000058590	0	0	0	0	0	0	0
ENSMUSG00000101235	0	0	0	0	0	0	0
ENSMUSG00000064433	0	0	0	0	0	0	0
ENSMUSG00000080625	0	0	0	0	0	0	0
ENSMUSG00000080391	0	0	0	0	0	0	0
ENSMUSG00000099257	0	0	0	0	0	0	0
ENSMUSG00000099492	1	0	4	1	6	9	8
ENSMUSG00000101726	0	0	0	0	0	0	0
ENSMUSG00000096829	0	0	0	0	0	0	0
ENSMUSG00000098883	0	0	0	0	0	0	0
ENSMUSG00000053185	0	0	0	0	0	0	0
ENSMUSG00000100261	0	0	0	0	1	1	1
ENSMUSG00000101180	0	0	0	0	0	1	0
ENSMUSG00000048874	688	701	1029	477	787	1155	1148
ENSMUSG00000103783	4	9	18	10	36	18	43
ENSMUSG00000104315	9	14	34	15	64	76	81
ENSMUSG00000026064	132	151	220	110	195	414	347
ENSMUSG00000086151	0	0	0	0	0	0	1
ENSMUSG00000086726	0	0	0	0	0	2	0
ENSMUSG00000087346	0	0	0	0	1	1	0
ENSMUSG00000100371	1	1	0	0	8	12	4
ENSMUSG00000100237	1	0	1	0	4	3	4
ENSMUSG00000098529	0	0	0	0	0	0	0
ENSMUSG00000086727	0	0	0	0	0	0	0
ENSMUSG00000100910	0	0	0	0	1	1	2
ENSMUSG00000099796	0	0	0	0	0	0	0
ENSMUSG00000050217	0	0	0	0	0	0	0
ENSMUSG00000026063	0	0	0	0	0	0	0
ENSMUSG00000077664	0	0	0	0	0	0	0
ENSMUSG00000100205	0	0	0	0	0	0	0
ENSMUSG00000100592	0	0	0	0	0	0	0
ENSMUSG00000094215	0	0	0	0	0	0	0
ENSMUSG00000101093	0	0	0	0	0	0	0
ENSMUSG00000070960	2	1	2	1	1	1	3
ENSMUSG00000088620	0	0	0	0	0	0	0
ENSMUSG00000082159	0	0	0	0	0	0	0
ENSMUSG00000026058	0	0	1	0	0	0	0
ENSMUSG00000064688	0	0	0	0	0	0	0
ENSMUSG00000103482	0	0	0	0	0	2	0
ENSMUSG00000104498	0	0	0	0	0	0	1
ENSMUSG00000104313	0	0	0	0	0	0	0
ENSMUSG00000102865	0	0	0	0	0	0	0
ENSMUSG00000102321	0	0	0	0	0	0	0
ENSMUSG00000091318	0	0	0	0	0	0	0
ENSMUSG00000089489	0	0	0	0	0	0	0
ENSMUSG00000104433	0	0	0	0	0	0	0
ENSMUSG00000089395	0	0	0	0	0	0	0
ENSMUSG00000102926	0	0	0	0	0	0	0
ENSMUSG00000100497	0	0	0	0	0	0	0
ENSMUSG00000102917	0	0	0	0	0	0	0
ENSMUSG00000100481	0	1	0	0	1	1	1
ENSMUSG00000100590	0	0	0	0	0	0	0
ENSMUSG00000088750	0	0	0	0	0	0	0
ENSMUSG00000104230	0	0	0	0	0	0	0
ENSMUSG00000101754	0	0	0	0	0	0	0
ENSMUSG00000065223	0	0	0	0	0	0	0
ENSMUSG00000100318	0	0	0	0	0	0	0
ENSMUSG00000101612	0	0	0	0	0	0	1
ENSMUSG00000065260	0	0	0	0	0	0	0
ENSMUSG00000026134	21	12	34	14	103	136	231
ENSMUSG00000101682	0	0	1	0	4	1	6
ENSMUSG00000102714	0	3	1	2	20	18	37
ENSMUSG00000102093	0	0	2	1	2	1	3
ENSMUSG00000103746	0	0	1	1	0	0	1
ENSMUSG00000102198	1	0	0	0	1	0	1
ENSMUSG00000004768	27	12	45	16	85	122	120
ENSMUSG00000042215	88	70	121	49	59	74	141
ENSMUSG00000103072	0	1	0	0	1	1	2
ENSMUSG00000042197	140	202	341	148	700	908	993
ENSMUSG00000081402	0	0	0	1	0	1	3
ENSMUSG00000042182	2	8	11	6	2	5	14
ENSMUSG00000104416	0	0	0	0	0	0	1
ENSMUSG00000026131	150	258	371	148	400	463	512
ENSMUSG00000103888	0	0	0	0	0	0	0
ENSMUSG00000103596	0	1	1	0	5	5	6
ENSMUSG00000099382	0	0	0	0	0	1	0
ENSMUSG00000084506	0	0	0	0	1	0	0
ENSMUSG00000103364	2	9	11	4	26	33	40
ENSMUSG00000105982	0	0	0	0	3	0	0
ENSMUSG00000103405	0	0	0	0	0	0	0
ENSMUSG00000096992	10	24	37	17	96	74	91
ENSMUSG00000104475	288	442	676	270	236	217	222
ENSMUSG00000103001	1	12	6	2	13	4	19
ENSMUSG00000104397	0	0	0	0	0	0	0
ENSMUSG00000102839	0	0	0	0	0	0	0
ENSMUSG00000101206	1	0	1	0	0	0	0
ENSMUSG00000101462	3	1	2	1	6	4	12
ENSMUSG00000102336	10	25	60	21	119	67	79
ENSMUSG00000092852	0	0	0	0	0	0	0
ENSMUSG00000042111	77	46	81	49	64	76	140
ENSMUSG00000101711	0	1	0	0	2	0	0
ENSMUSG00000026127	169	156	228	123	198	294	381
ENSMUSG00000026126	144	213	340	148	220	86	268
ENSMUSG00000100280	8	20	35	6	44	16	34
ENSMUSG00000101223	1	3	3	4	1	3	1
ENSMUSG00000026125	0	0	0	0	0	0	1
ENSMUSG00000101116	0	0	0	0	0	0	0
ENSMUSG00000026124	0	0	0	0	0	0	0
ENSMUSG00000101803	0	0	0	0	0	0	0
ENSMUSG00000037529	0	0	0	0	0	0	1
ENSMUSG00000045815	4	0	0	1	0	1	1
ENSMUSG00000045174	0	0	0	0	0	0	0
ENSMUSG00000100524	0	0	0	0	0	0	0
ENSMUSG00000102499	0	0	0	0	0	0	0
ENSMUSG00000103521	0	0	0	0	0	0	0
ENSMUSG00000104098	0	0	0	0	0	0	0
ENSMUSG00000037509	5	4	13	6	45	70	80
ENSMUSG00000106790	0	0	0	0	0	0	0
ENSMUSG00000102537	0	0	0	0	1	0	0
ENSMUSG00000102612	0	0	0	0	0	0	0
ENSMUSG00000104002	1	3	2	4	20	11	17
ENSMUSG00000037503	433	459	774	307	770	1261	1225
ENSMUSG00000104358	7	18	42	9	68	58	93
ENSMUSG00000026123	92	67	92	44	132	193	211
ENSMUSG00000103716	0	0	0	0	0	0	0
ENSMUSG00000103548	0	0	0	0	0	1	1
ENSMUSG00000103760	0	0	0	0	0	0	0
ENSMUSG00000103997	0	0	0	0	0	0	0
ENSMUSG00000077231	0	0	0	0	0	0	0
ENSMUSG00000104417	0	0	0	0	1	2	3
ENSMUSG00000064601	0	0	0	0	0	0	0
ENSMUSG00000101714	0	0	0	0	0	0	0
ENSMUSG00000102531	0	0	0	0	0	0	0
ENSMUSG00000103096	0	0	0	0	0	0	0
ENSMUSG00000102279	0	0	0	0	6	2	3
ENSMUSG00000103708	0	1	0	0	0	0	0
ENSMUSG00000104201	0	0	0	0	0	0	0
ENSMUSG00000102434	1	2	2	3	8	0	3
ENSMUSG00000045216	611	697	1094	504	302	252	382
ENSMUSG00000104523	0	0	0	0	0	0	0
ENSMUSG00000102202	5	5	15	13	7	20	25
ENSMUSG00000037470	741	919	1171	538	744	1088	1281
ENSMUSG00000098752	0	0	0	0	0	0	1
ENSMUSG00000047180	13	16	19	8	49	76	88
ENSMUSG00000037447	162	390	439	203	298	225	338
ENSMUSG00000102762	0	2	4	0	5	6	6
ENSMUSG00000010453	177	230	325	151	600	643	701
ENSMUSG00000098680	0	0	0	0	3	0	0
ENSMUSG00000037432	16	30	55	19	65	58	82
ENSMUSG00000001143	39	76	123	49	251	287	269
ENSMUSG00000037408	54	72	105	58	62	126	155
ENSMUSG00000104316	2	3	12	1	12	9	17
ENSMUSG00000106081	0	0	0	0	0	0	0
ENSMUSG00000001138	139	163	216	89	194	235	241
ENSMUSG00000102845	0	0	0	0	0	0	0
ENSMUSG00000067653	9	22	32	13	23	16	29
ENSMUSG00000103661	0	0	0	0	0	0	0
ENSMUSG00000079610	24	34	60	23	49	56	80
ENSMUSG00000026121	43	63	102	38	560	420	525
ENSMUSG00000087589	3	3	3	6	29	27	33
ENSMUSG00000046337	1	0	1	0	14	10	34
ENSMUSG00000089906	0	0	0	0	1	0	0
ENSMUSG00000077939	0	0	0	0	0	0	0
ENSMUSG00000061518	349	340	410	264	132	431	364
ENSMUSG00000037351	417	448	572	277	352	687	623
ENSMUSG00000102416	1	0	0	0	0	1	1
