,GEO #,file #,file name,finished
43,GSE84115,GSM2300462,ChIPSeq-WT-L1-GR-rep1,
44,GSE84115,GSM2300463,ChIPSeq-WT-L1-GR-rep2,
45,GSE84115,GSM2300464,ChIPSeq-WT-I12-GR-rep1,
46,GSE84115,GSM2300465,ChIPSeq-WT-I12-GR-rep2,
47,GSE84115,GSM2300466,ChIPSeq-WT-I24-GR-rep1,
48,GSE84115,GSM2300467,ChIPSeq-WT-I24-GR-rep2,
49,GSE84115,GSM2300468,ChIPSeq-WT-L1-H3K27ac-rep1,
50,GSE84115,GSM2300469,ChIPSeq-WT-L1-H3K27ac-rep2,
51,GSE84115,GSM2300470,ChIPSeq-WT-I12-H3K27ac-rep1,
52,GSE84115,GSM2300471,ChIPSeq-WT-I12-H3K27ac-rep2,
53,GSE84115,GSM2300472,ChIPSeq-WT-I24-H3K27ac-rep1,
54,GSE84115,GSM2300473,ChIPSeq-WT-I24-H3K27ac-rep2,
55,GSE84115,GSM2300474,ChIPSeq-WT-L1-STAT3-rep1,
56,GSE84115,GSM2300475,ChIPSeq-WT-I12-STAT3-rep1,
57,GSE84115,GSM2300476,ChIPSeq-WT-I12-STAT3-rep2,
58,GSE84115,GSM2300477,ChIPSeq-WT-I24-STAT3-rep1,
59,GSE84115,GSM2300478,ChIPSeq-WT-I24-STAT3-rep2,
60,GSE95758,GSM2492064,ChIP-Seq-WT-L1-SMC1-rep1,
61,GSE95758,GSM2492065,ChIP-Seq-WT-L1-SMC1-rep2,
62,GSE92932,GSM2433042,ChIP-seq-Mammary-WT-L1-CTCF-rep1,
63,GSE92932,GSM2433043,ChIP-seq-Mammary-WT-L1-CTCF-rep2,
64,GSE92932,GSM2577605,ChIP-seq-Mammary-WT-L1-H3K27me3-rep1,
65,GSE92932,GSM2577606,ChIP-seq-Mammary-WT-L1-H3K27me3-rep2,
66,GSE119657,GSM3380368,ChIP-seq-Elf5-V5-L1-rep1,
67,GSE119657,GSM3380369,ChIP-seq-Elf5-V5-L1-rep2,
68,GSE115370,GSM3176654,ChIP-seq-WT-L1-STAT5A-rep1,
69,GSE115370,GSM3176655,ChIP-seq-WT-L1-STAT5A-rep2,
70,GSE115370,GSM3176656,ChIP-seq-WT-L1-GR-rep1,
71,GSE115370,GSM3176657,ChIP-seq-WT-L1-GR-rep2,
72,GSE115370,GSM3176658,ChIP-seq-WT-L10-STAT5A-rep1,
73,GSE115370,GSM3176659,ChIP-seq-WT-L10-STAT5A-rep2,
74,GSE115370,GSM3176660,ChIP-seq-WT-L10-H3K27ac-rep1,
75,GSE115370,GSM3176661,ChIP-seq-WT-L10-H3K27ac-rep2,
76,GSE115370,GSM3176662,ChIP-seq-WT-L10-GR-rep1,
77,GSE115370,GSM3176663,ChIP-seq-WT-L10-GR-rep2,
78,GSE115370,GSM3176664,ChIP-seq-WT-L10-MED1_rep1,
79,GSE115370,GSM3176665,ChIP-seq-WT-L10-MED1_rep2,
80,GSE115370,GSM3176754,RNA-seq-WT1-L1,
81,GSE115370,GSM3176755,RNA-seq-WT1-L10,
82,GSE115370,GSM3176756,RNA-seq-WT2-L1,
83,GSE115370,GSM3176757,RNA-seq-WT2-L10,
84,GSE115370,GSM3176758,RNA-seq-WT3-L10,
85,GSE115370,GSM3176759,RNA-seq-WT4-L1,
86,GSE115370,GSM3176760,RNA-seq-WT4-L10,
